DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
02M542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,378.0,352.6666666666667
02M296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,375.0,370.3333333333333
02M288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,393.0,398.0
02M303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,358.0,350.3333333333333
06M540,9.0,23.0,17.0,17.0,9.0,0.86,3.26,5.55,2.17,1.29,40.818188,-73.950356,456.0,436.3333333333333
06M540,10.0,17.0,16.0,13.0,12.0,0.89,3.22,5.07,2.18,1.64,40.818188,-73.950356,456.0,436.3333333333333
06M540,3.0,8.0,14.0,6.0,4.0,0.64,3.02,5.77,1.72,1.54,40.818188,-73.950356,456.0,436.3333333333333
02M600,1.0,6.0,9.0,4.0,1.0,0.81,3.95,6.51,2.3,1.78,40.745156,-73.996074,423.0,419.0
02M600,1.0,7.0,11.0,7.0,1.0,0.95,3.35,6.9,2.5,1.45,40.745156,-73.996074,423.0,419.0
02M600,2.0,8.0,17.0,7.0,3.0,0.9,3.5,7.25,2.55,1.45,40.745156,-73.996074,423.0,419.0
02M376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7244,-74.004625,483.0,478.3333333333333
02M615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7244,-74.004625,418.0,402.3333333333333
02M500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.746176,-73.981241,349.0,356.6666666666667
02M620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.746176,-73.981241,379.0,369.3333333333333
06M346,0.0,1.0,0.0,1.0,0.0,0.33,1.32,1.76,0.83,0.59,40.833687,-73.942072,376.0,368.3333333333333
06M346,0.0,3.0,4.0,2.0,0.0,0.31,1.12,1.82,0.79,0.51,40.833687,-73.942072,376.0,368.3333333333333
06M346,0.0,1.0,1.0,0.0,1.0,0.28,1.11,1.74,0.75,0.53,40.833687,-73.942072,376.0,368.3333333333333
02M625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.76337,-73.990593,382.0,384.3333333333333
02M560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.729411999999996,-74.006148,440.0,471.6666666666667
02M586,0.0,1.0,2.0,1.0,0.0,0.43,1.03,1.23,0.99,0.41,40.730038,-73.992632,416.0,434.3333333333333
02M586,0.0,0.0,2.0,0.0,0.0,0.36,0.76,1.17,0.64,0.37,40.730038,-73.992632,416.0,434.3333333333333
02M586,0.0,0.0,8.0,0.0,0.0,0.24,0.71,1.71,0.51,0.32,40.730038,-73.992632,416.0,434.3333333333333
